objectid,title,perfumer,house,date,country,latitude,longitude,all_accords,parfumo_accords,fragrantica_accords,house_notes,standard_notes,mode_gender,percentage,identifier,type,format,display_template,image_full,image_small,image_thumb
skin11,Another 13,Nathalie Lorson,Le Labo,2010,France; USA,40.72325276,-73.99414485,synthetic; fresh; woody; spicy; fruity; musky; amber; woody; animalic; fruity; powdery,synthetic; fresh; woody; spicy; fruity,musky; amber; woody; animalic; fruity; powdery,ambroxide; jasmine; moss,pear; ambroxan; ambrox; helvetolide; jasmine; moss; ambrette,unisex,0.7203962179,,Image;StillImage,image/jpeg,image,https://lelabocan.ips.photos/lelabocanada/images/skus/050PA13100__PRODUCT_01--IMG_1200--ANOTHER13--1541572682.jpg,https://lelabocan.ips.photos/lelabocanada/images/skus/050PA13100__PRODUCT_01--IMG_1200--ANOTHER13--1541572682.jpg,https://lelabocan.ips.photos/lelabocanada/images/skus/050PA13100__PRODUCT_01--IMG_1200--ANOTHER13--1541572682.jpg
skin12,You,"Dora Baghriche-Arnaud, Frank Voelkl",Glossier,2017,USA,40.72688481,-74.00482462,fresh; powdery; synthetic; woody; creamy; musky; iris; amber; soft spicy; powdery,fresh; powdery; synthetic; woody; creamy,musky; iris; amber; soft spicy; powdery,"pink pepper, iris, ambrette, ambrox, ",,more female,0.4316816817,,Image;StillImage,image/jpeg,image,"https://glossier-prod.imgix.net/files/glossier-fragrance-you-01.png?auto=compress,format&cs=srgb&w=1080","https://glossier-prod.imgix.net/files/glossier-fragrance-you-01.png?auto=compress,format&cs=srgb&w=1080","https://glossier-prod.imgix.net/files/glossier-fragrance-you-01.png?auto=compress,format&cs=srgb&w=1080"
skin13,Cinematic,Miguel Matos,Der Duft,2020,Germany,52.51836608,13.42185638,citrus; spicy; fresh; floral; synthetic; musky; powdery; woody; citrus; aromatic,citrus; spicy; fresh; floral; synthetic,musky; powdery; woody; citrus; aromatic,petitgrain; ginger; lemon; cardamom; jasmine; rose; ylang ylang; vanilla; musk; amber,petitgrain; ginger; lemon; cardamom; jasmine; rose; ylang ylang; vanilla; musk; amber,unisex,0.85,,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/3a/3aab3e-cinematic-der-duft_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/3a/3aab3e-cinematic-der-duft_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/3a/3aab3e-cinematic-der-duft_1200.jpg?width=720&aspect_ratio=1:1
skin14,Musc Ravageur,Maurice Rouel,Frederic Malle,2000,France,48.85680316,2.363457158,spicy; sweet; animal; oriental; woody; warm spicy; vanilla; powdery; musky; woody,spicy; sweet; animal; oriental; woody,warm spicy; vanilla; powdery; musky; woody,musks; amber; vanilla; patchouli; sandalwood,musks; amber; vanilla; patchouli; sandalwood,unisex,0.5132152938,,Image;StillImage,image/jpeg,image,https://www.fredericmalle.com/media/images/products/256x315/fm_sku_H4FC01_256x315_0.jpg,https://www.fredericmalle.com/media/images/products/256x315/fm_sku_H4FC01_256x315_0.jpg,https://www.fredericmalle.com/media/images/products/256x315/fm_sku_H4FC01_256x315_0.jpg
skin15,Altra Skin,Unknown,Altra,2022,UK,51.52902929,-0.1100674577,synthetic; powdery; fresh; sweet; musky; powdery; animalic; sweet,synthetic; powdery; fresh; sweet,musky; powdery; animalic; sweet,white musks; botanical base notes,musk,unisex,0.6923076923,,Image;StillImage,image/jpeg,image,https://altraprofuture.com/cdn/shop/products/ALTRA_SKIN_FRONT_02_1600x.png?v=1643970464,https://altraprofuture.com/cdn/shop/products/ALTRA_SKIN_FRONT_02_1600x.png?v=1643970464,https://altraprofuture.com/cdn/shop/products/ALTRA_SKIN_FRONT_02_1600x.png?v=1643970464
skin16,Skin [Clean Classic],Harry Fremont,Clean,2012,USA,40.7568281,-73.98131437,fresh; floral; powdery; synthetic; sweet; musky; powdery; animalic; aquatic; ozonic,fresh; floral; powdery; synthetic; sweet,musky; powdery; animalic; aquatic; ozonic,lotus blossom; honeydew; fresh air accord; creamy vanilla; dewy petals; blue rose; white musk; cashmere woods; amberwood,lotus blossom; lotus; honeydew; fresh air accord; air; vanilla; petals; rose; white musk; musk; cashmere woods; cashmere; amberwood; amber,more female,0.3756345178,,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/99/99bf80-skin-eau-de-parfum-clean_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/99/99bf80-skin-eau-de-parfum-clean_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/99/99bf80-skin-eau-de-parfum-clean_1200.jpg?width=720&aspect_ratio=1:1
skin17,Skin [Clean Reserve],Unknown,Clean,2015,USA,40.7568281,-73.98131437,sweet; creamy; fresh; powdery; musky; sweet; powdery; salty; floral,sweet; creamy; fresh; powdery,musky; sweet; powdery; salty; floral,bergamot; orange blossom; honeysuckle; warm skin accord; vanilla orchid; sunkissed peony; salted praline; fresh musks; white cedarwood,bergamot; orange blossom; honeysuckle; warm skin accord; skin; vanilla orchid; peony; salted praline; praline; fresh musks; musk; cedarwood,more female,0.4402795426,,Image;StillImage,image/jpeg,image,https://www.cleanbeauty.com/cdn/shop/files/100ML_RESERVE_Skin_Carton_Angled_Bottle.jpg?v=1762891286&width=535,https://www.cleanbeauty.com/cdn/shop/files/100ML_RESERVE_Skin_Carton_Angled_Bottle.jpg?v=1762891286&width=535,https://www.cleanbeauty.com/cdn/shop/files/100ML_RESERVE_Skin_Carton_Angled_Bottle.jpg?v=1762891286&width=535
skin18,L'Orpheline,Unknown,Serge Lutens,2014,France,48.86557901,2.331146092,smoky; spicy; woody; resinous; fresh; musky; amber; smoky; balsamic; powdery,smoky; spicy; woody; resinous; french,musky; amber; smoky; balsamic; powdery,,musk; francincense; incense,unisex,0.7140751658,,Image;StillImage,image/jpeg,image,https://sergelutens.com/cdn/shop/files/SLCOLLECTIONNOIRE2025-PACKSHOT_L_orpheline_100ml_Product_36112366155_Graybackground_RVB_2000x2000_300dpi_JPG.jpg?height=2000&v=1779801735&width=2000,https://sergelutens.com/cdn/shop/files/SLCOLLECTIONNOIRE2025-PACKSHOT_L_orpheline_100ml_Product_36112366155_Graybackground_RVB_2000x2000_300dpi_JPG.jpg?height=2000&v=1779801735&width=2000,https://sergelutens.com/cdn/shop/files/SLCOLLECTIONNOIRE2025-PACKSHOT_L_orpheline_100ml_Product_36112366155_Graybackground_RVB_2000x2000_300dpi_JPG.jpg?height=2000&v=1779801735&width=2000
skin19,Naked Dance,"David Chaze, Mark Buxton",Odity,2021,Hong Kong,22.33762311,114.1505627,powdery; woody; floral; creamy; synthetic; woody; powdery; clay; earthy; iris,powdery; woody; floral; creamy; synthetic,woody; powdery; clay; earthy; iris,orange blossom; bergamot; green tea; rice; clay; lily; iris; a drop of turkish rose; white musk; incense; sandalwood; vetiver; tonka; guaiac wood,orange blossom; bergamot; green tea; rice; clay; lily; iris; rose; white musk; musk; incense; sandalwood; vetiver; tonka; guaiac wood,unisex,0.6378378378,,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/24/24ca13-naked-dance-oddity_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/24/24ca13-naked-dance-oddity_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/24/24ca13-naked-dance-oddity_1200.jpg?width=720&aspect_ratio=1:1
skin20,Demain Promis,Caroline Dumur ,Bastille,2019,France,48.84531619,2.417410693,spicy; fresh; floral; sweet; citrus; aromatic; woody; lavender; warm spicy; lactonic,spicy; fresh; floral; sweet; citrus,aromatic; woody; lavender; warm spicy; lactonic,bergamot; cinnamon; cardamom; rose; lavender; sage; milk; patchouli heart; tonka bean; sandalwood; vetiver,bergamot; cinnamon; cardamom; rose; lavender; sage; milk; patchouli; tonka bean; tonka; sandalwood; vetiver,unisex,0.5694444444,,Image;StillImage,image/jpeg,image,https://bastilleparfums.com/cdn/shop/files/Bastille_fragrance_web_DemainPromis_100ml.jpg?crop=center&height=1080&v=1715351380&width=1080,https://bastilleparfums.com/cdn/shop/files/Bastille_fragrance_web_DemainPromis_100ml.jpg?crop=center&height=1080&v=1715351380&width=1080,https://bastilleparfums.com/cdn/shop/files/Bastille_fragrance_web_DemainPromis_100ml.jpg?crop=center&height=1080&v=1715351380&width=1080
skin21,Need-U,Marie Duchene,Laboratorio Olfattivo,2018,Italy,45.06665007,7.684018465,aquatic; floral; fresh; synthetic; citrus; musky; white floral; marine; amber; aromatic,aquatic; floral; fresh; synthetic; citrus,musky; white floral; marine; amber; aromatic,italian lemon; pink pepper; white flowers; jasmine (hedione hd); sea sprays; ambroxan; sandalwood; white musks,lemon; pink pepper; white flowers; jasmine; sea notes; salt; ambroxan; sandalwood; white musk; musk,unisex,0.5460992908,,Image;StillImage,image/jpeg,image,https://www.laboratorioolfattivo.com/wp-content/uploads/2024/07/need_u-100ml.png,https://www.laboratorioolfattivo.com/wp-content/uploads/2024/07/need_u-100ml.png,https://www.laboratorioolfattivo.com/wp-content/uploads/2024/07/need_u-100ml.png
skin22,Miss-U,Luca Maffi,Laboratorio Olfattivo,2023,Italy,45.06665007,7.684018465,woody; earthy; creamy; oriental; spicy; woody; vanilla; fresh spicy; citrus; warm spicy,woody; earthy; creamy; oriental; spicy,woody; vanilla; fresh spicy; citrus; warm spicy,bergamot zest; yellow tangerine; cinnamon; sichuan pepper; ambroxan; agarwood bloack; patchouly; vanilla; guaiac wood,bergamot; tangerine; cinnamon; sichuan pepper; ambroxan; ambrox; agarwood; oud; patchouli; vanilla; guaiac wood,unisex,0.5348837209,,Image;StillImage,image/jpeg,image,https://www.laboratorioolfattivo.com/wp-content/uploads/2024/07/miss_u-100ml.png,https://www.laboratorioolfattivo.com/wp-content/uploads/2024/07/miss_u-100ml.png,https://www.laboratorioolfattivo.com/wp-content/uploads/2024/07/miss_u-100ml.png
skin23,LUCA,Unknown,TSU LANGE YOR,2023,Australia,-37.80041712,144.9677968,woody; fresh; spicy; resinous; woody; powdery; musky; aromatic; fresh spicy,woody; fresh; spicy; resinous,woody; powdery; musky; aromatic; fresh spicy,bergamot; black pepper; elemi; moss; cedarwood; clary sage; ambrox; musk; sandalwood,bergamot; black pepper; elemi; moss; cedarwood; clary sage; ambrox; musk; sandalwood,unisex,0.7407407407,,Image;StillImage,image/jpeg,image,https://tsu-lange-yor.au/cdn/shop/files/LUCAEDP50ML_01.png?v=1688006151&width=1600,https://tsu-lange-yor.au/cdn/shop/files/LUCAEDP50ML_01.png?v=1688006151&width=1600,https://tsu-lange-yor.au/cdn/shop/files/LUCAEDP50ML_01.png?v=1688006151&width=1600
